path;type;value;min;max;[CC;channel]
/main/guitar/aux_to/send_tcmone/pan;midi;50;0;100;82;1
/main/guitar/aux_to/send_tcmone/volume_db;midi;-6;-60;6;83;1
/main/guitar/aux_to/monitor2/pan;midi;50;0;100;80;1
/main/guitar/aux_to/monitor2/volume_db;midi;-6;-60;6;81;1
/main/guitar/aux_to/foh/pan;midi;50;0;100;76;1
/main/guitar/aux_to/foh/volume_db;midi;-6;-60;6;77;1
/main/foh/mute;ecs;0;0;1
/main/foh/bypass;ecs;0;0;1
/main/foh/panvol/pan;midi;50;0;100;33;1
/main/foh/panvol/volume_db;midi;-6;-60;6;34;1
/main/send_tcmone/mute;ecs;0;0;1
/main/send_tcmone/bypass;ecs;0;0;1
/main/monitor2/mute;ecs;0;0;1
/main/monitor2/bypass;ecs;0;0;1
/main/monitor2/hpf/frequency;midi;60;20;200;57;1
/main/monitor2/panvol/pan;midi;50;0;100;58;1
/main/monitor2/panvol/volume_db;midi;-6;-60;6;59;1
/main/player_2/mute;ecs;0;0;1
/main/player_2/solo;ecs;0;0;1
/main/player_2/bypass;ecs;0;0;1
/main/player_2/panvol/pan;midi;50;0;100;31;1
/main/player_2/panvol/volume_db;midi;-6;-60;6;32;1
/main/player_2/aux_to/monitor1/pan;midi;50;0;100;110;1
/main/player_2/aux_to/monitor1/volume_db;midi;-6;-60;6;111;1
/main/player_2/aux_to/foh/pan;midi;50;0;100;108;1
/main/player_2/aux_to/foh/volume_db;midi;-6;-60;6;109;1
/main/player_2/aux_to/send_tcmone/pan;midi;50;0;100;114;1
/main/player_2/aux_to/send_tcmone/volume_db;midi;-6;-60;6;115;1
/main/player_2/aux_to/monitor2/pan;midi;50;0;100;112;1
/main/player_2/aux_to/monitor2/volume_db;midi;-6;-60;6;113;1
/main/mic_2/mute;ecs;0;0;1
/main/mic_2/solo;ecs;0;0;1
/main/mic_2/bypass;ecs;0;0;1
/main/mic_2/panvol/pan;midi;50;0;100;21;1
/main/mic_2/panvol/volume_db;midi;-6;-60;6;22;1
/main/mic_2/aux_to/monitor1/pan;midi;50;0;100;70;1
/main/mic_2/aux_to/monitor1/volume_db;midi;-6;-60;6;71;1
/main/mic_2/aux_to/send_tcmone/pan;midi;50;0;100;74;1
/main/mic_2/aux_to/send_tcmone/volume_db;midi;-6;-60;6;75;1
/main/mic_2/aux_to/foh/pan;midi;50;0;100;68;1
/main/mic_2/aux_to/foh/volume_db;midi;-6;-60;6;69;1
/main/mic_2/aux_to/monitor2/pan;midi;50;0;100;72;1
/main/mic_2/aux_to/monitor2/volume_db;midi;-6;-60;6;73;1
/drums/cymbals/mute;ecs;0;0;1
/drums/cymbals/solo;ecs;0;0;1
/drums/cymbals/bypass;ecs;0;0;1
/drums/snare/mute;ecs;0;0;1
/drums/snare/solo;ecs;0;0;1
/drums/snare/bypass;ecs;0;0;1
/drums/toms/mute;ecs;0;0;1
/drums/toms/solo;ecs;0;0;1
/drums/toms/bypass;ecs;0;0;1
/drums/drums_out/mute;ecs;0;0;1
/drums/drums_out/solo;ecs;0;0;1
/drums/drums_out/bypass;ecs;0;0;1
/drums/kick/mute;ecs;0;0;1
/drums/kick/solo;ecs;0;0;1
/drums/kick/bypass;ecs;0;0;1
/drums/hihat/mute;ecs;0;0;1
/drums/hihat/solo;ecs;0;0;1
/drums/hihat/bypass;ecs;0;0;1
/players/slot_1/mute;ecs;0;0;1
/players/slot_1/solo;ecs;0;0;1
/players/slot_1/bypass;ecs;0;0;1
/players/slot_2/mute;ecs;0;0;1
/players/slot_2/solo;ecs;0;0;1
/players/slot_2/bypass;ecs;0;0;1
